epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7413111329078674,0.0005000000237487257,0.7717940211296082,0.8452000021934509,0.4525400996208191
1,0.8149111270904541,0.0005000000237487257,0.5409199595451355,0.8564000129699707,0.4125368595123291
2,0.8315555453300476,0.0005000000237487257,0.487907737493515,0.8618000149726868,0.3962479829788208
3,0.8401333093643188,0.0005000000237487257,0.4604913592338562,0.8651999831199646,0.3821057975292206
4,0.8477110862731934,0.0005000000237487257,0.4380651116371155,0.873199999332428,0.3701915740966797
5,0.8524222373962402,0.0005000000237487257,0.42063748836517334,0.8769999742507935,0.3590608835220337
6,0.8587111234664917,0.0005000000237487257,0.40340057015419006,0.8755999803543091,0.3572290539741516
7,0.8612444400787354,0.0005000000237487257,0.3945767879486084,0.873199999332428,0.3592195212841034
8,0.8640221953392029,0.0005000000237487257,0.38293859362602234,0.871999979019165,0.3565063178539276
9,0.8688222169876099,0.0005000000237487257,0.3698996603488922,0.8762000203132629,0.3448365330696106
10,0.8716222047805786,0.0005000000237487257,0.3613015115261078,0.8794000148773193,0.34575629234313965
11,0.8747333288192749,0.0005000000237487257,0.354864239692688,0.8812000155448914,0.3477005064487457
12,0.8787111043930054,0.0005000000237487257,0.3453737795352936,0.8766000270843506,0.346007376909256
13,0.8852666616439819,0.0002500000118743628,0.3265449106693268,0.8822000026702881,0.33908480405807495
14,0.888355553150177,0.0002500000118743628,0.32103949785232544,0.8841999769210815,0.3377724885940552
15,0.887066662311554,0.0002500000118743628,0.31665313243865967,0.8830000162124634,0.3375234007835388
16,0.887844443321228,0.0002500000118743628,0.31194403767585754,0.8853999972343445,0.3371497690677643
17,0.8897777795791626,0.0002500000118743628,0.30879929661750793,0.883400022983551,0.3375856280326843
18,0.8917999863624573,0.0002500000118743628,0.3059615194797516,0.8849999904632568,0.3317892551422119
19,0.8917555809020996,0.0002500000118743628,0.30006998777389526,0.8830000162124634,0.33289748430252075
