epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4674888849258423,0.0010000000474974513,1.4674878120422363,0.5845999717712402,1.1569719314575195
1,0.6298444271087646,0.0010000000474974513,1.0552129745483398,0.6531999707221985,0.9875713586807251
2,0.6895777583122253,0.0010000000474974513,0.8848338723182678,0.676800012588501,0.9278746843338013
3,0.7345555424690247,0.0010000000474974513,0.7651300430297852,0.6894000172615051,0.9074364304542542
4,0.7678889036178589,0.0010000000474974513,0.6712213754653931,0.6940000057220459,0.9148273468017578
5,0.7955555319786072,0.0010000000474974513,0.5909264087677002,0.7034000158309937,0.9206752777099609
6,0.8180222511291504,0.0010000000474974513,0.5281193852424622,0.7107999920845032,0.936953604221344
7,0.853755533695221,0.0005000000237487257,0.42189115285873413,0.7387999892234802,0.8166332244873047
8,0.8799333572387695,0.0005000000237487257,0.35323384404182434,0.7401999831199646,0.8635851740837097
9,0.9012888669967651,0.0005000000237487257,0.3002149164676666,0.7422000169754028,0.9162388443946838
10,0.9168000221252441,0.0005000000237487257,0.257147878408432,0.741599977016449,0.9722561240196228
11,0.9253333210945129,0.0002500000118743628,0.22244590520858765,0.7573999762535095,0.9516808390617371
12,0.9441333413124084,0.0002500000118743628,0.1813085973262787,0.7570000290870667,0.9947819113731384
