epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3601999878883362,0.0010000000474974513,1.9014538526535034,0.4424000084400177,1.5548287630081177
1,0.4944666624069214,0.0010000000474974513,1.4129637479782104,0.534600019454956,1.3269413709640503
2,0.5578222274780273,0.0010000000474974513,1.2415024042129517,0.5699999928474426,1.337058186531067
3,0.5945333242416382,0.0010000000474974513,1.1396517753601074,0.5830000042915344,1.1780234575271606
4,0.6230888962745667,0.0010000000474974513,1.067365288734436,0.6159999966621399,1.1408979892730713
5,0.645977795124054,0.0010000000474974513,1.0078392028808594,0.6385999917984009,1.0845955610275269
6,0.6649555563926697,0.0010000000474974513,0.9597551822662354,0.6478000283241272,1.0475186109542847
7,0.6739333271980286,0.0010000000474974513,0.9265934228897095,0.6751999855041504,0.9920013546943665
8,0.6897555589675903,0.0010000000474974513,0.891875684261322,0.7059999704360962,0.8322228789329529
9,0.702488899230957,0.0010000000474974513,0.8599989414215088,0.6751999855041504,0.9569673538208008
10,0.7128444314002991,0.0010000000474974513,0.8284453749656677,0.7333999872207642,0.785837709903717
11,0.718999981880188,0.0010000000474974513,0.8117581605911255,0.7468000054359436,0.7381884455680847
12,0.7260222434997559,0.0010000000474974513,0.7921227216720581,0.7116000056266785,0.8429582715034485
13,0.7347777485847473,0.0010000000474974513,0.7701756358146667,0.7465999722480774,0.7501233220100403
14,0.7414888739585876,0.0010000000474974513,0.7529026865959167,0.6866000294685364,0.9435380697250366
15,0.7532666921615601,0.0005000000237487257,0.7091964483261108,0.7648000121116638,0.6788328886032104
16,0.7605111002922058,0.0005000000237487257,0.6897928714752197,0.7797999978065491,0.6411681175231934
17,0.767133355140686,0.0005000000237487257,0.6817821860313416,0.7760000228881836,0.651787281036377
18,0.7710444331169128,0.0005000000237487257,0.6650493741035461,0.784600019454956,0.6274694204330444
19,0.7708444595336914,0.0005000000237487257,0.662727415561676,0.7807999849319458,0.6321534514427185
