model_name,accuracy,precision_macro,recall_macro,f1_macro
transfer_model,0.8777,0.8795346791981082,0.8776999999999999,0.8776124650630898
improved_cnn,0.7759,0.7891940577567087,0.7758999999999999,0.7706784628893374
baseline_cnn,0.7352,0.7451240548765858,0.7351999999999999,0.7358297512107802
