,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,915,4,9,7,9,0,0,5,36,15
automobile,12,930,1,2,0,1,3,0,9,42
bird,30,0,826,39,56,11,26,9,2,1
cat,12,1,15,798,42,61,39,18,10,4
deer,8,2,18,27,871,5,23,44,2,0
dog,7,0,11,147,18,759,19,38,1,0
frog,7,0,16,30,14,4,924,3,2,0
horse,15,0,9,15,34,12,3,908,2,2
ship,50,7,6,3,0,0,2,0,925,7
truck,17,42,1,3,1,0,2,4,9,921
